product_name,manufacturer,product_price,stock,total_reviews,rating,main_category,sub_category_1,sub_category_2,sub_category_3
Hornby 2014 Catalogue,Hornby,3.42,5.0,15.0,4.9,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Trains
FunkyBuys® Large Christmas Holiday Express Festive Train Set (SI-TY1017) Toy Light / Sounds / Battery Operated & Smoke,FunkyBuys,16.99,,2.0,4.5,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Trains
CLASSIC TOY TRAIN SET TRACK CARRIAGES LIGHT ENGINE BOXED BOYS KIDS BATTERY,ccf,9.99,2.0,17.0,3.9,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Trains
HORNBY Coach R4410A BR Hawksworth Corridor 3rd,Hornby,39.99,,1.0,5.0,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Trains
Hornby 00 Gauge 0-4-0 Gildenlow Salt Co. Steam Locomotive Model,Hornby,32.19,,3.0,4.7,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Trains
20pcs Model Garden Light Double Heads Lamppost Scale 1:100,Generic,6.99,,2.0,5.0,Hobbies , Model Trains & Railway Sets , Lighting & Signal Engineering , Lamps & Lighting
Hornby 00 Gauge 230mm BR Bogie Passenger Brake Coach Model (Red),Hornby,24.99,,2.0,4.5,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Trains
Hornby Santa's Express Train Set,Hornby,69.93,3.0,36.0,4.3,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Trains
Hornby Gauge Western Express Digital Train Set with eLink and TTS Loco Train Set,Hornby,235.58,4.0,1.0,5.0,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Trains
Learning Curve Chuggington Interactive Chatsworth,Chuggington,,1.0,8.0,4.8,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Trains
Hornby Gauge Railroad Mosley Tarmacadam Locomotive,Hornby,27.49,6.0,1.0,5.0,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Locomotives
Kato (USA) 176-1308 F3B Denver & Rio Grande Western,Kato (USA),273.6,,1.0,5.0,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Locomotives
Bachmann 37-662 14 Ton Tank Wagon Pease & Partners Red,Bachmann,9.6,2.0,1.0,5.0,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Trains
Hornby 00 Gauge 253mm Weathered Paviland Grange Steam Locomotive Train Model,Hornby,119.5,2.0,3.0,5.0,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Trains
Kato 3060-2 EF65 500 (F Model) Electric Locomotive,Kato,,18.0,1.0,5.0,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Locomotives
Glacier Express of N gauge 10-1219 Alps [UNESCO paint color] 7 Car Set,Kato,,12.0,1.0,5.0,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Locomotives
Power Trains Freight Industrial (Pack of 4),Power Trains,,2.0,2.0,4.5,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Trains
Chuggington Interactive Wash and Fuel Set with Brewster Train Toy,Chuggington,,1.0,2.0,4.0,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Trains
Kumoyuni 74-0 Shonan Color (Model Train),Kato,17.08,26.0,1.0,4.0,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Trains
Bachmann 31-588 Freightliner Class 70 005 Powerhaul Diesel Weathered,Bachmann,96.05,2.0,1.0,5.0,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Locomotives
Preiser 30495 Horse Drawn Wedding Coach (Closed),Preiser,27.55,,1.0,5.0,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Trains
Preiser 30414 Horse Drawn Liquid Manure Wagon,Preiser,24.5,2.0,1.0,5.0,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Trains
Bachmann Class A2 60534 'Irish Elegance' BR Lined Green Early Emblem,Bachmann,149.92,,1.0,5.0,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Locomotives
Plarail - S-29 Steam Locomotive Type C61-20 w/Head Light (Model Train),Takara Tomy,12.87,37.0,1.0,5.0,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Locomotives
Roco 64723 OBB Railjet Economy Coach V,Roco,49.95,,1.0,5.0,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Trains
Learning Curve Chuggington Interactive Brewster,Chuggington,,1.0,21.0,4.5,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Trains
Plarail - AS-07 Shinkansen Series 700 (Model Train),Takara Tomy,14.44,35.0,1.0,5.0,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Trains
Thomas and Friends Take-n-Play Molly,Fisher-Price,,1.0,8.0,5.0,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Trains
Hornby R2981 London 2012 1948 Games 00 Gauge Limited Edition Train Pack,Hornby,,2.0,4.0,4.3,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Trains
Gaugemaster HBYS Hornby Type Colour Light Signal for 12v DC,Gaugemaster,5.95,,5.0,4.8,Hobbies , Model Trains & Railway Sets , Lighting & Signal Engineering , Signal & Sound
Hornby R3246TTS LNER 2-8-2 'Cock O' The North' P2 Class with TTS Sound,Hornby,139.95,3.0,1.0,5.0,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Locomotives
Thomas and Friends Take-n-Play Elizabeth,Fisher-Price,19.99,,3.0,5.0,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Trains
Faller 140322,Faller,25.5,4.0,1.0,4.0,Hobbies , Model Trains & Railway Sets , Accessories , Recreational Activities
